vintage,credit_quality,n_obs,breach_rate,avg_cushion,avg_trend3m
2020,Subprime,10,0.0,0.7824571428571427,0.0012999999999999804
2021,Prime,100,0.0,0.9334795026881721,0.00018399999999998897
2021,Subprime,135,0.044444444444444446,0.5754725749559083,0.0027288888888888727
2022,Prime,183,0.0,0.928965053763441,0.000183606557377041
2022,Subprime,120,0.025,0.5772511574074073,0.002430833333333318
2023,Prime,31,0.0,0.9143253555324314,0.00042580645161289035
2023,Subprime,87,0.0,0.7088352490421457,0.0069275862068965315
2024,Prime,90,0.0,0.9682101700107651,0.0003811111111110878
2024,Subprime,41,0.0,0.8226475029036004,0.014704878048780463
